Пользователь	Югин Дмитрий
Компьютер	Progr10
Дата и время	25.09.2017 11:11:59
	
Параметры:	Период запроса: 01.01.2017 - 31.12.2017
	
День	ID Интернет заказа	Код товара	Количество отгрузок	Сумма отгрузок	Количество возвратов	Сумма возвратов
18.08.2017	3 012 477	124 695	1	3 275		
13.01.2017	4 691 119	124 695	1	2 975		
31.07.2017	3 603 133	96 704	1	42 000		
01.08.2017	3 603 133	96 704			1	42 000
09.06.2017	3 937 995	96 753	1	8 800		
26.06.2017	3 612 455	117 547	1	9 460		
17.07.2017	2 906 113	117 547	1	10 890		
18.07.2017	2 906 113	117 547			1	10 890
12.01.2017	5 719 614	117 597	1	8 080		
17.01.2017	5 719 614	117 597			1	8 080
17.07.2017	5 616 272	117 601	2	18 180		
18.07.2017	5 616 272	117 601			1	9 090
18.01.2017	3 563 776	131 836	1	21 385		
21.07.2017	5 718 356	5 985	1	12 755		
24.07.2017	5 718 356	5 985			1	12 755
11.07.2017	5 668 094	132 771	1	1 830		
03.08.2017	2 273 366	132 771	1	1 830		
25.07.2017	3 025 710	132 771	1	1 830		
21.06.2017	4 694 099	132 771	1	1 830		
27.02.2017	2 345 063	132 786	1	2 365		
28.02.2017	2 345 063	132 786			1	2 365
15.09.2017	225 574	132 802	1	965		
24.08.2017	2 666 258	132 826			1	5 440
23.08.2017	2 666 258	132 826	1	5 440		
16.01.2017	5 767 826	132 953	1	2 100		
10.01.2017	5 665 994	132 953			1	2 100
17.01.2017	5 767 826	132 953			1	2 100
05.01.2017	5 665 994	132 953	1	2 100		
09.08.2017	2 621 086	132 953	1	2 310		
20.01.2017	4 934 059	132 958	1	1 050		
11.05.2017	5 206 253	73 020	1	5 420		
14.07.2017	3 179 786	124 310	1	4 280		
27.06.2017	1 510 627	124 310	1	4 475		
15.08.2017	4 800 686	124 310	1	4 330		
01.02.2017	4 764 108	131 484	1	4 550		
20.03.2017	3 168 750	131 484	1	4 550		
24.04.2017	3 168 750	131 484			1	4 550
20.03.2017	3 183 953	131 484			1	4 550
09.02.2017	3 183 953	131 484	1	4 550		
07.03.2017	4 559 946	131 562			1	8 995
06.03.2017	4 559 946	131 562	1	8 995		
19.07.2017	460 432	131 610	1	1 255		
31.03.2017	3 407 130	131 610	1	1 140		
19.07.2017	1 577 593	138 477	1	1 890		
29.05.2017	4 649 891	138 477	1	2 080		
07.09.2017	3 243 341	138 477	1	1 770		
13.03.2017	4 952 875	138 492			1	480
06.03.2017	4 952 875	138 492	1	480		
24.04.2017	2 204 365	138 614	1	4 035		
08.08.2017	2 445 051	138 661			1	1 730
07.08.2017	2 445 051	138 661	1	1 730		
16.06.2017	1 871 340	138 661	1	1 720		
21.06.2017	1 116 012	138 661	1	1 665		
12.09.2017	740 787	29 109	1	31 630		
24.05.2017	1 644 761	66 690	1	5 080		
18.05.2017	1 707 179	118 235	1	16 660		
18.05.2017	1 707 179	118 235			1	16 660
