
Параметры:	Период:  - 31.07.2017
Отбор:	"Заказ.Дата Больше или равно ""01.04.2016 0:00:00"" И
Заказ.Дата Меньше ""27.08.2017 0:00:00"" И
Направление В списке ""Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Комплексные поставки; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности;..."""
	
Направление	Организация	Заказ.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов	Количество заказов с оплатой
Компрессорное	PУТЕКТОР	22.04.2016 23:59:59	Дилер	201 461,47	201 592,21	4	4
Насосное	PУТЕКТОР	22.04.2016 23:59:59	Дилер	882 760,42	546 594,29	12	9
Насосное	Рутектор	22.04.2016 23:59:59	Дилер	41 430,99	39 046,54	1	1
Подготовка поверхности	PУТЕКТОР	22.04.2016 23:59:59	Дилер	140 610,00		1	
Сварочное	PУТЕКТОР	22.04.2016 23:59:59	Дилер	977 387,80	977 949,98	5	5
Автосервис	PУТЕКТОР	22.04.2016 23:59:59	Розница	6 500,00	6 500,00	1	1
АТП	PУТЕКТОР	22.04.2016 23:59:59	Розница	16 161,02	16 478,53	1	1
Дуговая сварка.	PУТЕКТОР	22.04.2016 23:59:59	Розница	108 442,69		2	
ЗЧ и РМ	PУТЕКТОР	22.04.2016 23:59:59	Розница	459 445,52	348 445,45	21	16
ЗЧ и РМ	Рутектор	22.04.2016 23:59:59	Розница	3 580,00	3 580,00	1	1
Компрессорное	PУТЕКТОР	22.04.2016 23:59:59	Розница	181 856,60	160 478,60	4	3
Насосное	PУТЕКТОР	22.04.2016 23:59:59	Розница	1 151 371,91	706 865,06	11	8
Подготовка поверхности	PУТЕКТОР	22.04.2016 23:59:59	Розница	219 881,99	219 881,98	2	2
Сварочное	PУТЕКТОР	22.04.2016 23:59:59	Розница	1 547 082,56	717 167,64	8	5
Сварочное	Рутектор	22.04.2016 23:59:59	Розница	188 000,00	188 000,00	1	1
Химическое	PУТЕКТОР	22.04.2016 23:59:59	Розница	378 668,75	266 799,07	5	3
Дуговая сварка.	PУТЕКТОР	25.04.2016 23:59:59	Дилер	965 058,89	958 563,02	1	1
ЗЧ и РМ	PУТЕКТОР	25.04.2016 23:59:59	Дилер	174 204,57	67 671,30	7	3
Компрессорное	PУТЕКТОР	25.04.2016 23:59:59	Дилер	981 720,98	283 721,69	6	3
Насосное	PУТЕКТОР	25.04.2016 23:59:59	Дилер	1 262 728,64	306 848,52	9	5
Сварочное	PУТЕКТОР	25.04.2016 23:59:59	Дилер	373 002,94	44 451,02	4	3
НГО	Рутектор	25.04.2016 23:59:59	КПК	5 193 923,53	5 080 083,55	1	1
ЗЧ и РМ	PУТЕКТОР	25.04.2016 23:59:59	Розница	384 127,42	151 532,41	17	10
Компрессорное	PУТЕКТОР	25.04.2016 23:59:59	Розница	1 258 896,64	155 146,77	7	5
Насосное	PУТЕКТОР	25.04.2016 23:59:59	Розница	3 130 365,05	782 617,53	8	5
Подготовка поверхности	PУТЕКТОР	25.04.2016 23:59:59	Розница	45 190,96	45 190,96	1	1
Сварочное	PУТЕКТОР	25.04.2016 23:59:59	Розница	875 996,59	121 568,00	2	1
Сварочное	Рутектор	25.04.2016 23:59:59	Розница	91 057,12	91 057,12	1	1
ЗЧ и РМ	PУТЕКТОР	26.04.2016 23:59:59	Дилер	378 434,07	333 925,91	7	5
Компрессорное	PУТЕКТОР	26.04.2016 23:59:59	Дилер	900 363,12	882 000,00	2	1
Насосное	PУТЕКТОР	26.04.2016 23:59:59	Дилер	313 027,44	230 916,86	10	8
Сварочное	Рутектор	26.04.2016 23:59:59	Дилер	46 679,47	46 679,47	1	1
ЗЧ и РМ	PУТЕКТОР	26.04.2016 23:59:59	КПК	395 626,42	396 420,39	1	1
Компрессорное	Рутектор	26.04.2016 23:59:59	КПК	73 000,00	73 000,00	1	1
Насосное	Рутектор	26.04.2016 23:59:59	КПК	280 000,00		1	
Строительное	PУТЕКТОР	26.04.2016 23:59:59	КПК	100 000,00	100 200,27	1	1
Дуговая сварка.	PУТЕКТОР	26.04.2016 23:59:59	Розница	331 473,92	331 473,92	1	1
ЗЧ и РМ	PУТЕКТОР	26.04.2016 23:59:59	Розница	127 026,86	36 637,96	13	6
Компрессорное	PУТЕКТОР	26.04.2016 23:59:59	Розница	392 100,60	238 184,40	4	3
Насосное	PУТЕКТОР	26.04.2016 23:59:59	Розница	373 671,61	292 776,76	4	2
Подготовка поверхности	PУТЕКТОР	26.04.2016 23:59:59	Розница	516 216,75	516 216,75	4	4
Сварочное	PУТЕКТОР	26.04.2016 23:59:59	Розница	110 527,51		2	
Строительное	PУТЕКТОР	26.04.2016 23:59:59	Розница	78 200,00	78 200,00	2	2
Химическое	PУТЕКТОР	26.04.2016 23:59:59	Розница	381 461,91	376 037,05	2	2
Дуговая сварка.	Рутектор	27.04.2016 23:59:59	Дилер	2 805,00	2 805,00	1	1
ЗЧ и РМ	PУТЕКТОР	27.04.2016 23:59:59	Дилер	149 122,33	139 436,66	5	4
Компрессорное	PУТЕКТОР	27.04.2016 23:59:59	Дилер	90 640,00	90 640,00	2	2
Насосное	PУТЕКТОР	27.04.2016 23:59:59	Дилер	680 078,31	633 474,07	10	9
Подготовка поверхности	PУТЕКТОР	27.04.2016 23:59:59	Дилер	102 395,36	102 395,36	3	3
Сварочное	PУТЕКТОР	27.04.2016 23:59:59	Дилер	1 250 136,04	1 216 169,94	4	4
Химическое	PУТЕКТОР	27.04.2016 23:59:59	Дилер	189 667,86	117 389,93	2	1
Дуговая сварка.	Рутектор	27.04.2016 23:59:59	КПК	1 254 932,09	1 254 931,64	1	1
ЗЧ и РМ	PУТЕКТОР	27.04.2016 23:59:59	КПК	335 418,94	328 061,01	1	1
Компрессорное	Рутектор	27.04.2016 23:59:59	КПК	13 188,00	13 187,18	1	1
Сварочное	PУТЕКТОР	27.04.2016 23:59:59	КПК	77 898,50	77 898,50	1	1
Дуговая сварка.	PУТЕКТОР	27.04.2016 23:59:59	Розница	34 072,40	20 960,00	2	1
ЗЧ и РМ	PУТЕКТОР	27.04.2016 23:59:59	Розница	164 005,57	128 932,15	17	14
ЗЧ и РМ	Рутектор	27.04.2016 23:59:59	Розница	15 787,22	15 787,22	1	1
Компрессорное	PУТЕКТОР	27.04.2016 23:59:59	Розница	802 442,40	687 851,60	13	12
Насосное	PУТЕКТОР	27.04.2016 23:59:59	Розница	463 858,86	158 393,16	6	4
Подготовка поверхности	PУТЕКТОР	27.04.2016 23:59:59	Розница	220 408,68	220 408,68	3	3
Сварочное	PУТЕКТОР	27.04.2016 23:59:59	Розница	200 796,33	200 796,33	3	3
Строительное	PУТЕКТОР	27.04.2016 23:59:59	Розница	800,00	800,00	1	1
Химическое	PУТЕКТОР	27.04.2016 23:59:59	Розница	157 384,17	157 384,17	1	1
ЗЧ и РМ	PУТЕКТОР	28.04.2016 23:59:59	Дилер	59 635,68	38 940,36	7	4
ЗЧ и РМ	Рутектор	28.04.2016 23:59:59	Дилер	18 400,53	17 400,53	2	2
Компрессорное	PУТЕКТОР	28.04.2016 23:59:59	Дилер	63 600,00	63 600,00	1	1
Насосное	PУТЕКТОР	28.04.2016 23:59:59	Дилер	1 393 235,62	1 343 790,55	18	15
Подготовка поверхности	PУТЕКТОР	28.04.2016 23:59:59	Дилер	77 262,00	77 262,00	3	3
Сварочное	PУТЕКТОР	28.04.2016 23:59:59	Дилер	42 761,05	24 129,06	3	2
Химическое	PУТЕКТОР	28.04.2016 23:59:59	Дилер	526 996,71	2 300,00	2	1
Компрессорное	Рутектор	28.04.2016 23:59:59	КПК	1 100 000,00	1 100 000,00	1	1
Подготовка поверхности	Рутектор	28.04.2016 23:59:59	КПК	212 650,00	212 650,00	1	1
Автосервис	PУТЕКТОР	28.04.2016 23:59:59	Розница	18 300,00	18 300,00	2	2
АТП	PУТЕКТОР	28.04.2016 23:59:59	Розница	110 703,45	110 517,90	1	1
Дуговая сварка.	PУТЕКТОР	28.04.2016 23:59:59	Розница	10 063,60	10 063,60	1	1
ЗЧ и РМ	PУТЕКТОР	28.04.2016 23:59:59	Розница	116 366,33	113 030,63	12	11
Компрессорное	PУТЕКТОР	28.04.2016 23:59:59	Розница	3 578 333,54	3 267 633,59	7	4
Насосное	PУТЕКТОР	28.04.2016 23:59:59	Розница	834 013,31	585 056,79	10	8
Подготовка поверхности	PУТЕКТОР	28.04.2016 23:59:59	Розница	511 003,48	438 677,05	5	4
Сварочное	PУТЕКТОР	28.04.2016 23:59:59	Розница	1 447 052,31	1 246 894,92	7	5
Сварочное	Рутектор	28.04.2016 23:59:59	Розница	38 293,06	38 352,64	1	1
Строительное	PУТЕКТОР	28.04.2016 23:59:59	Розница	49 500,00	49 500,00	1	1
ЗЧ и РМ	PУТЕКТОР	29.04.2016 23:59:59	Дилер	124 171,25	57 906,15	8	5
Компрессорное	PУТЕКТОР	29.04.2016 23:59:59	Дилер	1 091 899,84	708 329,86	6	4
Насосное	PУТЕКТОР	29.04.2016 23:59:59	Дилер	1 009 042,69	352 569,90	7	4
Подготовка поверхности	PУТЕКТОР	29.04.2016 23:59:59	Дилер	13 500,00	13 500,00	1	1
Химическое	PУТЕКТОР	29.04.2016 23:59:59	Дилер	178 375,54	178 248,81	1	1
Дуговая сварка.	PУТЕКТОР	29.04.2016 23:59:59	Розница	97 782,12	90 000,00	2	1
ЗЧ и РМ	PУТЕКТОР	29.04.2016 23:59:59	Розница	199 645,20	74 964,24	19	12
Компрессорное	PУТЕКТОР	29.04.2016 23:59:59	Розница	282 637,40	260 837,40	3	2
Насосное	PУТЕКТОР	29.04.2016 23:59:59	Розница	1 096 235,77	961 435,04	7	5
Подготовка поверхности	PУТЕКТОР	29.04.2016 23:59:59	Розница	553 119,43	560 749,09	2	2
Сварочное	PУТЕКТОР	29.04.2016 23:59:59	Розница	220 393,60	2 044,83	3	1
Химическое	PУТЕКТОР	29.04.2016 23:59:59	Розница	291 713,34		1	
Дуговая сварка.	PУТЕКТОР	04.05.2016 23:59:59	Дилер	112 324,39		1	
ЗЧ и РМ	PУТЕКТОР	04.05.2016 23:59:59	Дилер	116 370,65	174 914,91	9	7
Компрессорное	PУТЕКТОР	04.05.2016 23:59:59	Дилер	626 068,99	469 125,25	8	7
Компрессорное	Рутектор	04.05.2016 23:59:59	Дилер	52 100,00	52 100,00	1	1
Насосное	PУТЕКТОР	04.05.2016 23:59:59	Дилер	821 644,28	711 476,47	12	9
Подготовка поверхности	PУТЕКТОР	04.05.2016 23:59:59	Дилер	344 478,26	339 733,20	3	3
Сварочное	PУТЕКТОР	04.05.2016 23:59:59	Дилер	43 980,90	43 980,90	1	1
Дуговая сварка.	Рутектор	04.05.2016 23:59:59	КПК	209 209,89	209 209,89	1	1
ЗЧ и РМ	Рутектор	04.05.2016 23:59:59	КПК	85 200,00		1	
Сварочное	PУТЕКТОР	04.05.2016 23:59:59	КПК	8 190 197,97	8 128 740,80	2	2
Дуговая сварка.	PУТЕКТОР	04.05.2016 23:59:59	Розница	266 359,60	32 400,00	3	1
ЗЧ и РМ	PУТЕКТОР	04.05.2016 23:59:59	Розница	273 818,18	166 284,91	17	11
Компрессорное	PУТЕКТОР	04.05.2016 23:59:59	Розница	261 522,90	195 401,68	2	1
Насосное	PУТЕКТОР	04.05.2016 23:59:59	Розница	669 070,55	639 361,57	10	9
Насосное	Рутектор	04.05.2016 23:59:59	Розница	71 060,00	71 060,00	1	1
Подготовка поверхности	PУТЕКТОР	04.05.2016 23:59:59	Розница	38 800,00	38 800,00	2	2
Сварочное	PУТЕКТОР	04.05.2016 23:59:59	Розница	2 654 139,07	610 446,34	4	2
Строительное	PУТЕКТОР	04.05.2016 23:59:59	Розница	111 731,87	111 731,87	2	2
ЗЧ и РМ	PУТЕКТОР	05.05.2016 23:59:59	Дилер	80 483,55	57 419,98	7	6
ЗЧ и РМ	Рутектор	05.05.2016 23:59:59	Дилер	5 678,00	5 678,00	1	1
Компрессорное	PУТЕКТОР	05.05.2016 23:59:59	Дилер	270 078,21	270 042,47	5	5
Насосное	PУТЕКТОР	05.05.2016 23:59:59	Дилер	503 763,73	419 416,59	11	10
Подготовка поверхности	PУТЕКТОР	05.05.2016 23:59:59	Дилер	20 700,00		1	
Химическое	PУТЕКТОР	05.05.2016 23:59:59	Дилер	358 505,36	356 243,11	1	1
Сварочное	PУТЕКТОР	05.05.2016 23:59:59	КПК	2 051 325,80		1	
Дуговая сварка.	PУТЕКТОР	05.05.2016 23:59:59	Розница	228 716,38	8 358,03	4	1
ЗЧ и РМ	PУТЕКТОР	05.05.2016 23:59:59	Розница	577 105,07	107 550,06	16	11
Компрессорное	PУТЕКТОР	05.05.2016 23:59:59	Розница	932 500,00	607 500,00	3	2
Насосное	PУТЕКТОР	05.05.2016 23:59:59	Розница	2 818 925,57	315 331,48	9	3
Сварочное	PУТЕКТОР	05.05.2016 23:59:59	Розница	18 529,18		1	
Строительное	PУТЕКТОР	05.05.2016 23:59:59	Розница	157 181,00	157 181,00	2	2
Химическое	PУТЕКТОР	05.05.2016 23:59:59	Розница	437 728,74	430 084,84	4	4
Химическое	Рутектор	05.05.2016 23:59:59	Розница	564 823,25	564 823,25	1	1
ЗЧ и РМ	PУТЕКТОР	06.05.2016 23:59:59	Дилер	461 131,92	33 711,05	11	5
Компрессорное	PУТЕКТОР	06.05.2016 23:59:59	Дилер	78 695,55	61 514,72	3	2
Насосное	PУТЕКТОР	06.05.2016 23:59:59	Дилер	1 706 572,26	1 681 383,55	7	7
Подготовка поверхности	PУТЕКТОР	06.05.2016 23:59:59	Дилер	210 301,77	210 246,32	4	4
Сварочное	PУТЕКТОР	06.05.2016 23:59:59	Дилер	11 532,18	10 701,97	2	1
ЗЧ и РМ	PУТЕКТОР	06.05.2016 23:59:59	Розница	215 527,44	154 981,90	11	8
Насосное	PУТЕКТОР	06.05.2016 23:59:59	Розница	4 101 966,03	500 514,28	12	7
Подготовка поверхности	PУТЕКТОР	06.05.2016 23:59:59	Розница	26 818,00	26 818,00	3	3
Сварочное	PУТЕКТОР	06.05.2016 23:59:59	Розница	332 600,89	22 281,50	2	1
Строительное	Рутектор	06.05.2016 23:59:59	Розница	159 710,87	155 342,62	1	1
Автосервис	PУТЕКТОР	10.05.2016 23:59:59	Дилер	109 218,12	106 447,77	1	1
Дуговая сварка.	PУТЕКТОР	10.05.2016 23:59:59	Дилер	1 367 918,04	1 367 445,45	2	2
Дуговая сварка.	Рутектор	10.05.2016 23:59:59	Дилер	2 830,00		1	
ЗЧ и РМ	PУТЕКТОР	10.05.2016 23:59:59	Дилер	449 932,83	92 392,05	7	4
Компрессорное	PУТЕКТОР	10.05.2016 23:59:59	Дилер	269 930,00	269 930,00	2	2
Насосное	PУТЕКТОР	10.05.2016 23:59:59	Дилер	526 541,50	389 450,21	13	11
Подготовка поверхности	PУТЕКТОР	10.05.2016 23:59:59	Дилер	47 980,00		2	
Сварочное	PУТЕКТОР	10.05.2016 23:59:59	Дилер	247 898,79	135 236,01	4	3
Химическое	PУТЕКТОР	10.05.2016 23:59:59	Дилер	123 118,03	119 435,46	3	3
Автосервис	PУТЕКТОР	10.05.2016 23:59:59	Розница	228 228,72		2	
ЗЧ и РМ	PУТЕКТОР	10.05.2016 23:59:59	Розница	553 117,92	414 652,50	15	12
ЗЧ и РМ	Рутектор	10.05.2016 23:59:59	Розница	11 595,38	11 595,38	1	1
Компрессорное	PУТЕКТОР	10.05.2016 23:59:59	Розница	11 634,00	11 634,00	1	1
Насосное	PУТЕКТОР	10.05.2016 23:59:59	Розница	337 080,48	331 919,75	4	4
Подготовка поверхности	PУТЕКТОР	10.05.2016 23:59:59	Розница	196 919,00	196 919,00	2	2
Сварочное	PУТЕКТОР	10.05.2016 23:59:59	Розница	481 390,73	460 522,50	2	2
Строительное	PУТЕКТОР	10.05.2016 23:59:59	Розница	8 690,00	8 690,00	1	1
Химическое	PУТЕКТОР	10.05.2016 23:59:59	Розница	111 695,03	109 533,61	1	1
ЗЧ и РМ	PУТЕКТОР	11.05.2016 23:59:59	Дилер	200 208,23	68 146,49	8	4
ЗЧ и РМ	Рутектор	11.05.2016 23:59:59	Дилер	21 749,00		1	
Компрессорное	PУТЕКТОР	11.05.2016 23:59:59	Дилер	296 422,00	296 422,00	3	3
Насосное	PУТЕКТОР	11.05.2016 23:59:59	Дилер	618 856,11	578 046,50	14	12
Насосное	Рутектор	11.05.2016 23:59:59	Дилер	56 655,45	55 218,60	1	1
Подготовка поверхности	PУТЕКТОР	11.05.2016 23:59:59	Дилер	676,00	676,00	1	1
Сварочное	PУТЕКТОР	11.05.2016 23:59:59	Дилер	488 256,67	6 445,52	4	2
Химическое	PУТЕКТОР	11.05.2016 23:59:59	Дилер	43 200,00	43 200,00	1	1
Насосное	Рутектор	11.05.2016 23:59:59	КПК	266 281,90	266 281,90	1	1
Дуговая сварка.	PУТЕКТОР	11.05.2016 23:59:59	Розница	11 784,25		1	
ЗЧ и РМ	PУТЕКТОР	11.05.2016 23:59:59	Розница	252 641,51	241 044,86	12	10
ЗЧ и РМ	Рутектор	11.05.2016 23:59:59	Розница	63 970,86	63 970,86	1	1
Компрессорное	PУТЕКТОР	11.05.2016 23:59:59	Розница	113 105,00	113 104,99	3	3
Насосное	PУТЕКТОР	11.05.2016 23:59:59	Розница	557 564,50	396 771,61	13	7
Подготовка поверхности	Рутектор	11.05.2016 23:59:59	Розница	186 585,28	186 585,28	1	1
Сварочное	PУТЕКТОР	11.05.2016 23:59:59	Розница	311 622,68	301 333,28	6	4
Сварочное	Рутектор	11.05.2016 23:59:59	Розница	593 705,00	593 705,00	2	2
Строительное	PУТЕКТОР	11.05.2016 23:59:59	Розница	11 154,00	11 154,00	1	1
Химическое	Рутектор	11.05.2016 23:59:59	Розница	161 716,64	161 716,64	1	1
Дуговая сварка.	PУТЕКТОР	12.05.2016 23:59:59	Дилер	46 065,30	6 786,72	3	1
ЗЧ и РМ	PУТЕКТОР	12.05.2016 23:59:59	Дилер	272 662,30	153 083,48	12	6
Компрессорное	PУТЕКТОР	12.05.2016 23:59:59	Дилер	201 580,19	92 953,43	6	4
Насосное	PУТЕКТОР	12.05.2016 23:59:59	Дилер	392 749,98	259 249,28	9	6
Подготовка поверхности	PУТЕКТОР	12.05.2016 23:59:59	Дилер	21 375,00	21 375,00	1	1
Сварочное	PУТЕКТОР	12.05.2016 23:59:59	Дилер	34 103,63	33 414,86	2	2
Химическое	PУТЕКТОР	12.05.2016 23:59:59	Дилер	117 000,34	114 927,37	1	1
Сварочное	PУТЕКТОР	12.05.2016 23:59:59	КПК	17 051,59		1	
АТП	PУТЕКТОР	12.05.2016 23:59:59	Розница	43 082,36	43 082,36	1	1
Дуговая сварка.	PУТЕКТОР	12.05.2016 23:59:59	Розница	52 428,32	52 428,32	1	1
ЗЧ и РМ	PУТЕКТОР	12.05.2016 23:59:59	Розница	361 872,27	225 775,78	16	10
Компрессорное	PУТЕКТОР	12.05.2016 23:59:59	Розница	781 514,16	561 123,95	9	4
Насосное	PУТЕКТОР	12.05.2016 23:59:59	Розница	1 309 502,99	1 225 124,63	11	9
Подготовка поверхности	PУТЕКТОР	12.05.2016 23:59:59	Розница	49 800,00	49 800,00	2	2
Сварочное	PУТЕКТОР	12.05.2016 23:59:59	Розница	359 641,05	233 036,96	2	1
